OBJECTID	TARGET_FID	LON	LAT	MAX_MMI
180	1947	-116.262432	33.76977022	6.0
181	4965	-116.082769	35.68912602	6.3
182	5283	-118.7777148	35.90770736	5.5
183	13853	-120.0401397	41.10560022	2.5
184	7037	-117.5200734	36.99155291	7.2
185	8384	-121.5624922	37.84767304	6.4
186	4830	-117.789568	35.61613202	7.9
187	11392	-122.2811444	39.6688006	4.8
188	760	-118.6593517	33.02904335	
189	6679	-118.4183887	36.77599673	8.2
190	8736	-121.2031661	38.06017072	5.2
191	5880	-117.2505788	36.2706708	6.9
192	665	-116.8014212	32.94442438	4.9
193	3298	-119.9455247	34.66116407	5.1
194	10831	-120.5743454	39.32219839	3.9
195	10483	-120.5743454	39.11340829	4.1
196	3928	-115.4539483	35.02978462	6.1
197	11520	-121.2031661	39.73791355	4.1
198	3685	-116.4420951	34.88253456	6.8
199	6111	-117.3404104	36.41538631	7.0
200	7714	-119.2268724	37.42083643	5.3
201	15327	-123.0902849	41.97612773	3.3
202	13379	-120.9336715	40.83428469	2.9
203	6199	-119.8556931	36.48764317	4.7
204	15101	-122.550639	41.84593627	3.5
205	9109	-118.9697986	38.25964014	4.4
206	3186	-119.5861986	34.58724206	5.8
207	12665	-122.550639	40.42523013	3.0
208	10123	-121.6523237	38.90399773	4.9
209	15089	-123.6286173	41.84593627	3.6
210	5149	-120.3946823	35.83491374	4.1
211	5305	-116.8014212	35.90770736	6.7
212	14058	-122.4608075	41.24083088	3.2
213	3562	-117.0709158	34.80881039	6.4
214	8648	-118.6878833	37.98940647	6.0
215	4838	-117.0709158	35.61613202	6.9
216	5261	-120.7540084	35.90770736	5.1
217	6212	-118.6878833	36.48764317	7.2
218	12575	-120.2150193	40.35681087	4.9
219	3417	-119.6760301	34.73502021	5.4
220	12304	-123.7184489	40.2197639	6.9
221	4388	-115.8132744	35.32348985	6.3
222	8857	-120.7540084	38.13086661	4.3
223	12211	-121.6523237	40.15113624	4.0
224	6195	-120.2150193	36.48764317	6.0
225	1249	-116.4420951	33.32055167	6.0
226	12897	-122.550639	40.56186003	2.4
227	10019	-120.5743454	38.8340565	4.7
228	11296	-120.4845138	39.59961844	3.9
229	14192	-120.84384	41.30834436	3.2
230	9792	-120.1251877	38.69396768	4.0
231	559	-115.9031059	32.86900579	4.0
232	8025	-122.5396299	37.63325673	7.9
233	1922	-118.4740715	33.77252332	4.9
234	11872	-120.84384	39.94483687	3.6
235	7817	-120.3946823	37.49214606	6.8
236	4019	-117.6997365	35.10331038	6.4
237	15002	-121.023503	41.77898207	2.5
238	5632	-118.6878833	36.12568658	6.3
239	9993	-122.9099651	38.8340565	6.8
240	12562	-121.3828291	40.35681087	2.4
241	430	-117.0709158	32.793523	6.4
242	11957	-123.6286173	40.01367269	7.2
243	6548	-119.7658616	36.70400952	5.9
244	7800	-121.9218183	37.49214606	7.7
245	4717	-117.5200734	35.54307135	7.0
246	3926	-115.6336113	35.02978462	6.2
247	2159	-118.0590626	33.91898986	8.0
248	4925	-119.6760301	35.68912602	5.1
249	10226	-122.8201336	38.97387013	7.0
250	14850	-124.250438	41.72184916	4.2
251	4804	-120.1251877	35.61613202	4.3
252	9996	-122.6404705	38.8340565	6.3
253	4817	-118.9573779	35.61613202	6.2
254	9660	-121.5624922	38.62382017	4.8
255	10572	-122.9997966	39.18307398	7.1
256	5029	-120.7540084	35.76205328	4.5
257	7012	-119.7658616	36.99155291	4.5
258	9445	-120.0353562	38.48331914	4.0
259	4219	-120.5743454	35.25016306	3.6
260	13145	-121.1133345	40.69821162	2.8
261	10248	-120.84384	38.97387013	4.8
262	3663	-118.4183887	34.88253456	7.8
263	3688	-116.1726005	34.88253456	6.6
264	8155	-121.2929976	37.70566666	5.6
265	1704	-117.2505788	33.62029027	6.8
266	4742	-115.3007244	35.52104942	2.2
267	1475	-116.9810842	33.47055056	5.3
268	2038	-118.4691941	33.81264171	5.2
269	341	-114.6436595	32.74439547	7.5
270	10462	-122.4608075	39.11340829	4.7
271	13118	-123.5387858	40.69821162	5.0
272	5083	-115.9031059	35.76205328	6.2
273	5170	-118.5082202	35.83491374	5.9
274	10141	-120.0353562	38.90399773	4.8
275	11275	-122.3709759	39.59961844	4.7
276	14518	-122.8201336	41.51046567	4.3
277	15225	-121.8319868	41.91282048	3.1
278	6577	-117.1607473	36.70400952	6.9
279	7127	-119.8556931	37.06326967	4.5
280	5871	-118.0590626	36.2706708	7.4
281	7806	-121.3828291	37.49214606	5.5
282	11642	-120.6641769	39.80695727	5.5
283	10455	-123.0896282	39.11340829	7.1
284	6001	-116.8014212	36.34306217	6.7
285	13576	-124.077775	40.97007905	6.3
286	10456	-122.9997966	39.11340829	7.1
287	10362	-121.023503	39.04367366	3.7
288	5490	-121.023503	36.05309384	5.3
289	11862	-121.7421552	39.94483687	3.8
290	12692	-120.1251877	40.42523013	2.6
291	12650	-123.8981119	40.42523013	8.0
292	5263	-120.5743454	35.90770736	4.7
293	2877	-116.082769	34.36508134	5.5
294	1719	-115.9031059	33.62029027	3.8
295	6225	-117.5200734	36.48764317	7.0
296	13475	-122.7303021	40.90221672	2.6
297	14740	-123.7184489	41.64486375	4.3
298	2046	-117.789568	33.84441261	7.2
299	2837	-119.6816175	34.37547456	7.5
300	3119	-115.1844537	34.51325422	2.7
301	9652	-122.2811444	38.62382017	6.6
302	2542	-114.9149591	34.14233	2.7
303	11168	-121.5624922	39.53036711	4.6
304	7575	-121.2929976	37.34945884	5.5
305	450	-115.2742852	32.793523	3.4
306	2059	-116.6217581	33.84441261	6.1
307	4938	-118.5082202	35.68912602	7.0
308	13375	-121.2929976	40.83428469	2.9
309	2191	-115.1844537	33.91898986	2.9
310	12194	-123.1794597	40.15113624	5.2
311	4040	-115.8132744	35.10331038	6.3
312	10604	-120.1251877	39.18307398	5.8
313	13719	-121.6523237	41.03787166	3.2
314	13147	-120.9336715	40.69821162	2.8
315	14741	-123.6286173	41.64486375	4.3
316	9311	-121.6523237	38.41296569	4.9
317	9328	-120.1251877	38.41296569	4.0
318	11375	-123.8081667	39.6688742	8.0
319	14774	-120.6641769	41.64486375	3.0
320	10125	-121.4726607	38.90399773	3.9
321	1715	-116.262432	33.62029027	5.0
322	2057	-116.8014212	33.84441261	5.1
323	11648	-120.1251877	39.80695727	6.0
324	3066	-119.9455247	34.51325422	5.3
325	6073	-120.7540084	36.41538631	5.4
326	9211	-120.2150193	38.34254367	4.1
327	4620	-115.8132744	35.46994406	6.2
328	4625	-115.3641167	35.46994406	5.9
329	9673	-120.3946823	38.62382017	4.6
330	13806	-124.2303563	41.10796894	6.0
331	4726	-116.7115897	35.54307135	6.8
332	7233	-120.7540084	37.13491868	6.4
333	8620	-121.2031661	37.98940647	5.5
334	4258	-117.0709158	35.25016306	6.9
335	3111	-115.9031059	34.51325422	5.6
336	2638	-116.7115897	34.21664596	5.4
337	5070	-117.0709158	35.76205328	6.9
338	10243	-121.2929976	38.97387013	4.1
339	13122	-123.1794597	40.69821162	3.9
340	11415	-120.2150193	39.6688006	7.3
341	13928	-123.7184489	41.17324759	5.5
342	3639	-120.5743454	34.88253456	3.8
343	3701	-115.0047906	34.88253456	2.6
344	13491	-121.2929976	40.90221672	2.9
345	6661	-120.0353562	36.77599673	5.8
346	4579	-119.496367	35.46994406	5.0
347	14308	-120.84384	41.37578799	3.2
348	7464	-120.84384	37.27801331	6.5
349	9643	-123.0896282	38.62382017	7.5
350	3563	-116.9810842	34.80881039	6.5
351	4103	-120.5743454	35.17676988	5.3
352	6668	-119.4065355	36.77599673	6.0
353	13156	-120.1251877	40.69821162	2.8
354	8265	-121.8319868	37.77670394	6.8
355	9444	-120.1251877	38.48331914	4.0
356	9089	-120.7540084	38.27205313	5.5
357	3062	-120.3048508	34.51325422	6.5
358	11997	-120.0389527	40.01370978	3.9
359	2847	-118.7777148	34.36508134	7.4
360	14275	-123.8082804	41.37578799	5.4
361	7562	-122.444374	37.35105858	7.3
362	6888	-120.4845138	36.91976847	5.4
363	6989	-121.8319868	36.99155291	8.5
364	7932	-120.4845138	37.56338767	6.8
365	3679	-116.9810842	34.88253456	6.6
366	11291	-120.9336715	39.59961844	3.9
367	14759	-122.0116498	41.64486375	3.5
368	9295	-123.0896282	38.41296569	8.5
369	4595	-118.0590626	35.46994406	6.6
370	7913	-122.1913129	37.56338767	7.8
371	3204	-117.9692311	34.58724206	7.6
372	11042	-122.4608075	39.46104663	4.4
373	4963	-116.262432	35.68912602	6.5
374	1337	-118.9926746	33.42761765	
375	4132	-117.9692311	35.17676988	6.3
376	10702	-121.7421552	39.25267069	4.2
377	11391	-122.3709759	39.6688006	4.5
378	3536	-119.4065355	34.80881039	5.9
379	8524	-119.4065355	37.9185739	4.5
380	1110	-118.4762373	33.27867807	
381	3353	-115.0047906	34.66116407	2.6
382	7003	-120.5743454	36.99155291	5.6
383	3870	-120.6578777	35.02868084	3.4
384	10688	-122.9997966	39.25267069	6.3
385	6788	-119.0472094	36.8479164	6.3
386	5073	-116.8014212	35.76205328	6.7
387	4736	-115.8132744	35.54307135	6.2
388	2390	-118.1488941	34.06794862	8.0
389	5834	-121.3828291	36.2706708	5.5
390	13595	-122.3709759	40.97007905	3.5
391	12556	-121.9218183	40.35681087	2.6
392	13473	-122.9099651	40.90221672	3.2
393	2543	-114.8251276	34.14233	
394	13026	-121.3828291	40.63007062	2.6
395	6448	-118.3285572	36.63195482	8.2
396	6543	-120.2150193	36.70400952	5.1
397	7573	-121.4726607	37.34945884	5.5
398	3785	-117.8793995	34.95619266	6.4
399	6456	-117.6099049	36.63195482	7.1
400	13815	-123.4489543	41.10559451	4.3
401	7102	-122.1014814	37.06326967	7.1
402	13247	-122.3709759	40.76628298	3.4
403	5996	-117.2505788	36.34306217	6.9
404	11502	-122.8201336	39.73791355	4.8
405	2991	-116.262432	34.43920062	5.7
406	11508	-122.2811444	39.73791355	4.6
407	3125	-114.6454645	34.51325422	
408	13849	-120.3946823	41.10559451	3.1
409	5621	-119.6760301	36.12568658	5.2
410	5759	-117.6997365	36.19821225	7.3
411	6870	-122.0932987	36.93161977	6.9
412	8382	-121.7421552	37.84767304	6.6
413	2249	-120.3923788	33.99937037	
414	5713	-121.8262966	36.20962734	5.5
415	1133	-116.4420951	33.24545522	4.9
416	5510	-119.2268724	36.05309384	6.3
417	4799	-120.5743454	35.61613202	4.5
418	3909	-117.1607473	35.02978462	6.7
419	4918	-120.3048508	35.68912602	5.8
420	7819	-120.2150193	37.49214606	4.6
421	3327	-117.3404104	34.66116407	5.9
422	12412	-124.4089136	40.28613733	
423	12325	-121.8319868	40.2197639	4.0
424	14735	-124.1654971	41.64564725	4.1
425	11842	-123.5387858	39.94483687	7.0
426	7837	-118.5980518	37.49214606	7.5
427	4153	-116.082769	35.17676988	6.5
428	11616	-122.9997966	39.80695727	5.4
429	6567	-118.0590626	36.70400952	8.6
430	14189	-121.1133345	41.30834436	3.0
431	6453	-117.8793995	36.63195482	8.1
432	2869	-116.8014212	34.36508134	5.7
433	6655	-120.5743454	36.77599673	5.9
434	13498	-120.6641769	40.90221672	3.0
435	11873	-120.7540084	39.94483687	3.7
436	7937	-120.0353562	37.56338767	4.0
437	12645	-124.3472696	40.42523013	8.5
438	2857	-117.8793995	34.36508134	7.1
439	7040	-117.2532108	36.98940775	6.9
440	5887	-116.6217581	36.2706708	6.5
441	7796	-122.2811444	37.49214606	8.5
442	9557	-120.3946823	38.55360398	4.6
443	3072	-119.4065355	34.51325422	6.8
444	14049	-123.2692912	41.24083088	4.7
445	4387	-115.9031059	35.32348985	6.3
446	4240	-118.6878833	35.25016306	7.0
447	3424	-119.0472094	34.73502021	8.1
448	7146	-118.1488941	37.06326967	8.5
449	4123	-118.7777148	35.17676988	8.0
450	14638	-122.4608075	41.57769967	3.7
451	3334	-116.7115897	34.66116407	6.3
452	5085	-115.7234428	35.76205328	6.1
453	9100	-119.7658616	38.27205313	3.8
454	1826	-116.7115897	33.69506275	5.4
455	11740	-122.2811444	39.87593172	4.1
456	13380	-120.84384	40.83428469	2.9
457	10709	-121.1133345	39.25267069	4.7
458	15326	-123.1788256	41.97635512	3.4
459	9663	-121.2929976	38.62382017	4.1
460	13350	-123.5387858	40.83428469	4.5
461	8163	-120.5743454	37.70566666	5.7
462	11505	-122.550639	39.73791355	4.2
463	9453	-119.3189672	38.48149167	3.0
464	7681	-122.1913129	37.42083643	9.0
465	6669	-119.316704	36.77599673	5.5
466	8501	-121.4726607	37.9185739	6.7
467	3415	-119.8556931	34.73502021	5.1
468	7705	-120.0353562	37.42083643	4.1
469	12675	-121.6523237	40.42523013	2.5
470	5608	-120.84384	36.12568658	5.9
471	10828	-120.84384	39.32219839	4.4
472	13153	-120.3946823	40.69821162	2.8
473	2627	-117.6997365	34.21664596	6.9
474	1729	-115.0047906	33.62029027	2.9
475	13947	-122.0116498	41.17324759	3.8
476	4338	-120.3048508	35.32348985	4.0
477	6220	-117.9692311	36.48764317	8.2
478	4281	-115.0065651	35.24870371	2.6
479	15336	-122.2812919	41.97713918	2.8
480	4142	-117.0709158	35.17676988	6.9
481	7117	-120.7540084	37.06326967	6.5
482	3531	-119.8556931	34.80881039	5.0
483	4135	-117.6997365	35.17676988	6.5
484	8134	-123.1432869	37.73440643	
485	3211	-117.3404104	34.58724206	6.0
486	5735	-119.8556931	36.19821225	6.0
487	4350	-119.2268724	35.32348985	5.8
488	15207	-123.4489543	41.91282048	3.5
489	7138	-118.8675463	37.06326967	6.7
490	3468	-115.0946221	34.73502021	2.6
491	8289	-119.6760301	37.77670394	4.9
492	14046	-123.5387858	41.24083088	4.9
493	12447	-121.2929976	40.28832212	4.0
494	4845	-116.4420951	35.61613202	6.6
495	7922	-121.3828291	37.56338767	5.6
496	2424	-115.0946221	34.06794862	2.8
497	4455	-120.2150193	35.39675021	4.1
498	9770	-122.1014814	38.69396768	5.9
499	8521	-119.6760301	37.9185739	4.5
500	5734	-119.9455247	36.19821225	4.9
501	9648	-122.6404705	38.62382017	7.2
502	890	-117.3934556	33.11901549	4.9
503	4220	-120.4845138	35.25016306	3.7
504	5057	-118.2387256	35.76205328	6.7
505	1473	-117.1607473	33.47055056	5.4
506	338	-114.9158617	32.73049149	3.0
507	3641	-120.3946823	34.88253456	4.2
508	4831	-117.6997365	35.61613202	8.1
509	4216	-120.84384	35.25016306	6.1
510	8189	-118.2395576	37.70499939	7.3
511	7823	-119.8556931	37.49214606	4.0
512	6657	-120.3946823	36.77599673	6.0
513	10118	-122.1014814	38.90399773	4.7
514	1351	-117.6906028	33.41129546	4.8
515	6299	-121.2929976	36.55983269	6.3
516	7344	-121.2031661	37.20649991	5.6
517	3431	-118.4183887	34.73502021	8.6
518	14283	-123.0896282	41.37578799	3.9
519	2176	-116.5319266	33.91898986	5.1
520	4238	-118.8675463	35.25016306	7.3
521	14392	-123.7184489	41.44316177	5.1
522	6194	-120.3048508	36.48764317	5.6
523	5277	-119.316704	35.90770736	6.0
524	6207	-119.1370409	36.48764317	6.4
525	8741	-120.7540084	38.06017072	4.0
526	6184	-121.2031661	36.48764317	5.9
527	11737	-122.550639	39.87593172	4.2
528	2975	-117.6997365	34.43920062	6.9
529	3773	-118.9573779	34.95619266	8.0
530	13948	-121.9218183	41.17324759	3.7
531	6099	-118.4183887	36.41538631	7.5
532	12451	-120.9336715	40.28832212	4.1
533	2155	-118.4183887	33.91898986	7.0
534	1037	-114.6845091	33.17920304	
535	7569	-121.8319868	37.34945884	7.8
536	3702	-114.9149591	34.88253456	
537	14419	-121.2929976	41.44316177	2.9
538	4125	-118.5980518	35.17676988	7.1
539	12093	-121.8319868	40.08243916	3.8
540	14544	-120.4845138	41.51046567	3.4
541	12456	-120.4845138	40.28832212	4.7
542	10249	-120.7540084	38.97387013	4.5
543	14409	-122.1913129	41.44316177	3.9
544	6560	-118.6878833	36.70400952	7.4
545	8259	-122.3709759	37.77670394	8.3
546	2041	-118.2387256	33.84441261	8.5
547	4702	-118.8675463	35.54307135	6.4
548	2994	-115.9929374	34.43920062	5.6
549	9552	-120.84384	38.55360398	5.0
550	7024	-118.6878833	36.99155291	7.3
551	2141	-119.6832008	33.93772279	2.8
552	2142	-119.5918327	33.94786211	2.9
553	8165	-120.3946823	37.70566666	5.8
554	313	-117.1607473	32.71797609	7.0
555	12809	-120.0380184	40.49356683	2.7
556	6803	-117.6997365	36.8479164	7.3
557	6310	-120.3048508	36.55983269	5.5
558	9884	-122.2811444	38.76404647	6.0
559	314	-117.0709158	32.71797609	6.7
560	5870	-118.1488941	36.2706708	7.4
561	4494	-116.7115897	35.39675021	6.8
562	14539	-120.9336715	41.51046567	3.1
563	4029	-116.8014212	35.10331038	6.9
564	14271	-124.1647968	41.36735769	4.9
565	12662	-122.8201336	40.42523013	3.4
566	4572	-120.1251877	35.46994406	4.3
567	5861	-118.9573779	36.2706708	6.6
568	5890	-116.3522635	36.2706708	6.4
569	4504	-115.8132744	35.39675021	6.2
570	7910	-122.4608075	37.56338767	8.0
571	12415	-124.1676065	40.28832212	8.6
572	6569	-117.8793995	36.70400952	8.0
573	11880	-120.1251877	39.94483687	3.8
574	5260	-120.84384	35.90770736	5.1
575	9760	-122.9997966	38.69396768	7.4
576	5990	-117.789568	36.34306217	7.3
577	12094	-121.7421552	40.08243916	3.8
578	670	-116.3522635	32.94442438	4.4
579	1829	-116.4420951	33.69506275	5.3
580	4577	-119.6760301	35.46994406	4.9
581	13949	-121.8319868	41.17324759	3.5
582	2753	-116.8014212	34.29089643	5.7
583	6309	-120.3946823	36.55983269	5.7
584	3781	-118.2387256	34.95619266	7.2
585	1342	-118.5078509	33.39580123	3.3
586	2528	-116.1726005	34.14233	6.7
587	5269	-120.0353562	35.90770736	4.5
588	13935	-123.0896282	41.17324759	4.3
589	3440	-117.6099049	34.73502021	6.4
590	1946	-116.3522635	33.76977022	6.8
591	8855	-120.9336715	38.13086661	4.3
592	12321	-122.1913129	40.2197639	4.0
593	9893	-121.4726607	38.76404647	4.4
594	5383	-120.2150193	35.98043408	5.0
595	3552	-117.9692311	34.80881039	7.0
596	15113	-121.4726607	41.84593627	2.8
597	4162	-115.2742852	35.17676988	2.4
598	9432	-121.2031661	38.48331914	5.0
599	5145	-120.7540084	35.83491374	4.9
600	8393	-120.7540084	37.84767304	4.4
601	13146	-121.023503	40.69821162	2.8
602	5533	-117.1607473	36.05309384	6.9
603	14749	-122.9099651	41.64486375	4.0
604	4603	-117.3404104	35.46994406	7.0
605	13342	-124.2364001	40.82816098	7.0
606	11068	-120.1251877	39.46104663	3.8
607	4148	-116.5319266	35.17676988	6.8
608	12431	-122.7303021	40.28832212	3.7
609	9897	-121.1133345	38.76404647	3.8
610	2158	-118.1488941	33.91898986	7.0
611	7460	-121.2031661	37.27801331	5.8
612	2404	-116.8912527	34.06794862	6.0
613	3060	-120.4845138	34.51325422	5.0
614	13152	-120.4845138	40.69821162	2.8
615	8135	-123.0788114	37.71514201	
616	9184	-122.6404705	38.34254367	7.4
617	11847	-123.0896282	39.94483687	5.4
618	8398	-120.3048508	37.84767304	4.9
619	11402	-121.3828291	39.6688006	4.4
620	3874	-120.3048508	35.02978462	4.0
621	3467	-115.1844537	34.73502021	2.6
622	13619	-120.2150193	40.97007905	2.8
623	5634	-118.5082202	36.12568658	6.6
624	4810	-119.5861986	35.61613202	5.1
625	5082	-115.9929374	35.76205328	6.3
626	4356	-118.6878833	35.32348985	6.8
627	11409	-120.7540084	39.6688006	3.9
628	921	-114.6856591	33.06486624	
629	9661	-121.4726607	38.62382017	4.8
630	8508	-120.84384	37.9185739	4.4
631	12537	-123.6286173	40.35681087	6.2
632	5961	-120.3946823	36.34306217	6.1
633	3535	-119.496367	34.80881039	8.0
634	12318	-122.4608075	40.2197639	3.5
635	5143	-120.9336715	35.83491374	7.3
636	2367	-120.2128438	34.04669393	2.9
637	6416	-121.2031661	36.63195482	6.5
